test_name,short_description,clinical_overview
VZV DNA QN PCR,This test measures the amount of Varicella-Zoster Virus (VZV) genetic material in a sample. It helps determine if the virus is currently active or replicating.,"The VZV DNA Quantitative PCR test detects and measures the specific genetic material of the Varicella-Zoster Virus, which causes infections like chickenpox and shingles. This test is ordered to evaluate for an acute infection or to monitor potential reactivation of the virus. The results indicate the amount of viral DNA present in the sample; higher levels often suggest active viral replication at the time of testing. Conversely, low or undetectable amounts may mean the virus is dormant or that the body has cleared the infection."
AFP AND AFP-L3,This test measures levels of Alpha-fetoprotein (AFP) and AFP-L3 in your blood. These proteins are markers used by doctors to help evaluate liver health and monitor certain conditions.,"Alpha-fetoprotein (AFP) and AFP-L3 are proteins measured in the blood that can be elevated when there is an issue with the liver or other organs. Physicians order this test primarily to assess overall liver function, track known chronic liver diseases, or help monitor for certain types of cancer, such as hepatocellular carcinoma. Elevated levels may suggest underlying liver problems or disease but do not confirm a diagnosis on their own. The results must always be interpreted by your doctor alongside physical exam findings and other diagnostic tests."
METANEPHRINES FRAC.,"This test measures specific waste products, called metabolites, from hormones like epinephrine and norepinephrine. High levels may indicate that certain glands are releasing too much of these stimulating hormones.","The metanephrines fractionated test measures the breakdown products (metabolites) of catecholamines—hormones involved in the body's stress response. This test is ordered to help evaluate for conditions where adrenal glands or other tissues may be overproducing these hormones, such as pheochromocytoma. Elevated levels suggest excessive hormone release and require further investigation by a healthcare provider. Conversely, normal results help rule out this specific type of hormonal disorder. The interpretation of these results must always be considered alongside the patient's symptoms, medical history, and physical exam findings."
TRICHOMONAS VAG RNA QL,"This test detects genetic material (RNA) from *Trichomonas vaginalis*, an organism that can cause vaginal infections. It is used to confirm if this specific infection is present in a vaginal sample.","The purpose of this test is to detect the presence of RNA, which is the genetic material, belonging to *Trichomonas vaginalis* within a collected vaginal sample. This molecular analysis helps healthcare providers diagnose vaginitis or cervicitis that may be caused by this protozoan organism. A positive result indicates that the parasite's genetic material was found in the sample. However, these results must always be interpreted alongside your physical symptoms and medical history to determine the cause of any irritation or discharge."
GLYCOMARK (R),This test measures specific sugar structures (glycans) in your blood that can change when metabolic processes are affected. Changes may help doctors evaluate overall metabolic health.,"GLYCOMARK analyzes the levels of certain carbohydrate structures, called glycans, circulating in the blood. These markers are attached to various proteins throughout the body and their patterns can shift due to changes in metabolism or organ function. Doctors typically order this test to help evaluate chronic conditions that affect sugar processing, such as diabetes or kidney disease. Elevated or altered results may suggest metabolic stress but cannot diagnose a condition on its own; they assist your healthcare provider in assessing overall health status alongside symptoms and physical exam findings."
TROPONIN I ACS180,"This test measures troponin I, a protein found in heart muscle. Elevated levels suggest damage or injury to the heart tissue.","Troponin I is a specific protein biomarker that is released into the bloodstream when the heart muscle experiences damage. This blood test is primarily ordered to help evaluate patients presenting with symptoms suggestive of acute cardiac injury, such as chest pain. The measured concentration helps healthcare providers assess whether there has been an event like myocardial infarction (heart attack) or if another cause of heart inflammation is present. While elevated levels are a key indicator of heart muscle damage, the results must always be interpreted alongside the patient's symptoms, medical history, and physical examination findings."
COENZYME Q10,This test measures the level of Coenzyme Q10 in your blood. This substance is essential for energy production within your body's cells.,"Coenzyme Q10 (CoQ10) is a natural compound found in many parts of the body, playing a key role in generating energy inside the cell's power structures. This test measures the amount of CoQ10 circulating in the blood to assess metabolic status. Physicians may order this test if they suspect an issue with cellular energy production or mitochondrial function. Low levels can sometimes be associated with certain conditions that affect muscle strength or overall energy, but these results must always be interpreted alongside your symptoms and medical history by a healthcare provider."
GLUC GEST SCRN 140,This test measures the amount of sugar (glucose) in your blood to screen for high blood sugar levels that may develop during pregnancy.,"This test quantifies the level of glucose circulating in the bloodstream. It is ordered primarily to screen for Gestational Diabetes Mellitus (GDM), which means developing high blood sugar while pregnant. Elevated results suggest that the body is having difficulty managing blood sugar levels, requiring further testing and monitoring by a healthcare provider. Normal results indicate adequate glucose control at the time of the test. These findings are used alongside your medical history and physical exam to guide management and care throughout pregnancy."
"GLUCOSE, GESTATIONAL & FASTING -140",Measures your blood sugar levels when you have not eaten (fasting) or during pregnancy. These results help check if the body is managing sugar properly.,"This test measures the amount of glucose (sugar) circulating in the blood, assessing how well the body manages sugar intake. It evaluates two specific states: general fasting levels and levels relevant to pregnancy. Elevated readings can suggest that the body may have difficulty controlling blood sugar, which could indicate prediabetes or gestational diabetes. These results are used by healthcare providers to monitor glucose control and assess risks for both the mother and baby."
"DHEA (Dehydroepiandrosterone), Unconjugated","This test measures Dehydroepiandrosterone (DHEA), a hormone found in the blood that is related to sex hormones and helps assess adrenal gland function.","The DHEA, or Dehydroepiandrosterone, test measures levels of this specific steroid hormone circulating in the bloodstream. This hormone is primarily produced by the adrenal glands and plays a role in regulating overall sex hormone balance. Physicians order this test to evaluate potential imbalances among sex hormones or to help determine if the adrenal glands are functioning correctly. Elevated DHEA levels may suggest an issue with hormone production, while low levels could indicate that the body is not producing enough necessary hormones. The results are interpreted by a healthcare provider alongside your symptoms and physical exam findings."
CORTISOLSALIVA,"This test measures levels of cortisol, a hormone that helps manage stress and metabolism, in your saliva. It helps doctors evaluate the body's natural rhythm of this important hormone.","Cortisol is a steroid hormone produced by the adrenal glands that plays a key role in regulating metabolism and managing the body’s response to stress. This test measures the concentration of cortisol specifically in saliva, which provides an assessment of how these levels change throughout the day (the diurnal rhythm). Physicians order this test to evaluate the function of the adrenal glands and determine if the hormone is being produced correctly or if its pattern is abnormal. Abnormal results may suggest conditions such as Cushing's syndrome (when cortisol is too high) or adrenal insufficiency, but only a healthcare provider can interpret these findings alongside your medical history."
C4A LEVEL,"This test measures the level of Complement Component 4a (C4A), a protein in your blood that is part of the immune system's defense mechanism.","The C4A Level test measures the concentration of Complement Component 4a, which is a key protein found within the complement system—a group of proteins essential for fighting infection and regulating immunity. This test is typically ordered when a doctor suspects an issue with immune function or if certain autoimmune conditions are being evaluated. The results help doctors understand how well your body's defense mechanisms are working; low levels may suggest that the component is deficient or has been used up, while high levels can indicate other forms of immune activity. These results must always be reviewed by a healthcare provider alongside your symptoms and medical history to determine their overall meaning."
ACHR BINDING AB,"This test measures specific antibodies that target the AChR, a protein where nerves signal to muscles. Elevated levels can help identify certain autoimmune disorders affecting muscle strength.","The ACHR binding antibody test detects the presence and level of antibodies that mistakenly attack the acetylcholine receptor (AChR). This receptor is a critical protein located at the junction between nerves and muscles, allowing nerve signals to trigger muscle movement. Doctors typically order this test when they suspect an autoimmune condition like Myasthenia Gravis (MG), which involves the immune system interfering with normal communication between nerves and muscles. The results are interpreted by comparing your antibody levels against established reference ranges. While positive or elevated antibodies suggest that the body is attacking the AChR, these findings must always be considered alongside physical exam results and other diagnostic tests to confirm a diagnosis."
MBC X5 AEROBIC ORG,"This test grows microorganisms, such as bacteria, from a sample under oxygen-rich conditions to identify potential causes of infection.","This laboratory procedure involves culturing samples on specialized media to detect the presence of viable aerobic organisms, primarily bacteria. It is ordered when a healthcare provider needs to know which specific type of microbe may be causing an illness or infection. The results help guide treatment by identifying the pathogen and determining if it is sensitive to certain antibiotics. A positive result indicates that microorganisms were successfully grown from the sample, suggesting a potential source of infection; however, this test alone cannot confirm a diagnosis."
ACTH,ACTH measures a hormone that signals your adrenal glands to make cortisol. Levels help doctors evaluate if these glands are working correctly.,"Adrenocorticotropic hormone (ACTH) is a hormone released by the pituitary gland that stimulates the adrenal glands to produce cortisol, which helps manage stress and maintain bodily functions. This test is ordered when a doctor needs to determine if there is an issue with the communication between these two glands. Abnormal ACTH levels may suggest problems such as Addison's disease (when the body does not make enough cortisol) or Cushing's syndrome (when cortisol levels are too high). The results must be interpreted by comparing the ACTH level with other hormone measurements, like cortisol, to accurately determine the cause of any imbalance."
M. PNEUM IGM AB,This test detects specific antibodies (IgM) in the blood that indicate exposure to *Mycoplasma pneumoniae*. It helps determine if you have a current or recent respiratory illness from this organism.,"This laboratory test measures the presence of IgM antibodies in the blood that target *Mycoplasma pneumoniae*, a bacteria that can cause pneumonia and other respiratory infections. The immune system typically produces these specific IgM antibodies when a person is actively fighting an infection caused by this organism. Physicians order this test to help evaluate if symptoms, such as persistent cough or difficulty breathing, are due to *M. pneumoniae*. A positive result suggests recent exposure or active infection; however, the results must always be interpreted alongside your physical exam and medical history."
APC RESISTANCE,This test checks if bacteria from an infection are resistant to certain antibiotics. It helps doctors choose effective drugs to treat serious bacterial infections.,"The APC resistance test determines whether a specific type of bacteria, such as *Acinetobacter baumannii*, has developed genes that make it difficult for common antibiotics to kill it. This testing is ordered when a patient has an infection and doctors need to know which drugs will be effective in treating the illness. If the results show resistance, it means standard antibiotics may not work, requiring the healthcare team to select alternative medications. These findings are critical for guiding appropriate antibiotic therapy and preventing complications from severe infections."
ALBUMIN,"This test measures the amount of albumin, a major protein found in your blood. Low levels may suggest issues with liver function or kidney health.","Albumin is the most abundant protein in the blood and is primarily produced by the liver. This test measures the concentration of this specific protein to help evaluate how well the liver is functioning, as well as assessing nutritional status and fluid balance. Low levels of albumin (hypoalbuminemia) can indicate that the liver is struggling to produce enough protein or may suggest kidney issues. Conversely, very high levels are uncommon but monitored by healthcare providers. The results are interpreted alongside your medical history and physical exam findings."
IMCAP BERMUDA GRASS (G2),"This test detects specific DNA from Bermuda Grass in a sample, determining if this plant species is present. It helps identify the presence or absence of the grass.","The IMCAP Bermuda Grass (G2) test measures the genetic material (DNA) unique to Bermuda Grass within a collected sample. This molecular detection method is used to confirm whether the specific DNA sequence belonging to this plant species is present in the tested area, such as soil or vegetation. A positive result indicates that the grass was detected at the site of collection, while a negative result suggests it was not found. These results are important for environmental monitoring and understanding local flora composition."
HBSAG (REFL) W/CONF,"This test detects the Hepatitis B Surface Antigen (HBsAg), a protein found on the surface of the hepatitis B virus. It helps determine if an individual has an active infection with this virus.","The HBSAG test measures the presence of the Hepatitis B Surface Antigen, which is a key outer protein of the hepatitis B virus. This blood test is ordered to evaluate whether a person currently has an active infection or chronic carriage of the virus. A positive result suggests that the body is infected with the hepatitis B virus and requires follow-up care from a healthcare provider. Conversely, a negative result indicates no detectable virus at the time of testing. The results must always be interpreted by a doctor alongside your medical history and physical exam findings."
IMCAP ORCHARD GRASS (G3),This test measures specific antibodies in your blood that indicate an immune reaction to orchard grass pollen. High levels suggest you may have an allergic sensitivity to this plant.,"This laboratory test measures the amount of specific antibodies, particularly Immunoglobulin E (IgE), found in the blood that are directed against proteins from orchard grass pollen. It is ordered to evaluate whether a person has developed an allergy or heightened sensitivity to this common environmental allergen. Elevated antibody levels suggest that the immune system recognizes the plant as a threat and may trigger allergic symptoms such as sneezing, itchy eyes, or respiratory issues during certain seasons. These results help healthcare providers determine if allergy management or preventative treatment is needed."
RUBELLA IGG AB,"This test detects specific antibodies (IgG) in your blood. A positive result suggests you have immunity to rubella, meaning you have been infected or vaccinated.","The Rubella IgG antibody test measures the presence of Immunoglobulin G (IgG), which are proteins in the blood that indicate past exposure or vaccination against rubella, a common viral illness. This test is often ordered to determine an individual's immunity status, particularly when planning pregnancy. A positive result suggests the person has protective antibodies and is immune to the virus. Conversely, if IgG antibodies are absent, it may suggest a lack of immunity. Because rubella can cause serious birth defects (congenital rubella syndrome) if contracted during early pregnancy, this test helps guide preventative care."
RPR PREMARITALREFL,"This test detects specific antibodies in your blood that suggest exposure to syphilis, a sexually transmitted infection.","The RPR test measures non-treponemal antibodies found in the blood. These antibodies are associated with syphilis and are used primarily for screening or monitoring treatment effectiveness. A positive result suggests potential exposure to the infection, but it does not confirm a diagnosis on its own. Because these antibodies can persist even after successful treatment, results must always be interpreted by a healthcare provider alongside your symptoms and medical history."
IMCAP MEADOW FESCUE (G4),This test measures specific proteins found in Meadow Fescue grass that may trigger an allergic reaction. It helps determine if your body has reacted to this plant.,"This test measures the presence of components from Meadow Fescue grass, which are known allergens (substances that can cause an immune response). Physicians typically order this test when a patient experiences symptoms like sneezing, itchy eyes, or respiratory issues during specific seasons. The results indicate whether your body has produced antibodies—proteins designed to fight off foreign substances—in reaction to the pollen or proteins from Meadow Fescue. A positive result suggests sensitivity to this plant, which may help guide treatment plans for managing seasonal allergies."
IMCAP PERENNIAL RYE (G5),This test analyzes perennial rye material to detect specific markers or compositions within the plant tissue. It helps confirm the identity or assess the quality of the rye sample.,"This assay measures specific chemical or genetic components present in perennial rye plant samples. The test is used by agricultural researchers and botanists to verify the species identification, check for contaminants, or evaluate the overall purity of the rye material. Positive results indicate the presence of the targeted marker within the sample, while negative results suggest the absence of that component. This analysis is crucial for maintaining accurate records regarding crop genetics and quality control."
IMCAP TIMOTHY GRASS (G6),This test measures a specific protein or substance related to G6 metabolism in your blood. It helps evaluate how well certain metabolic pathways are functioning.,"This laboratory test measures the level of a specific biomarker associated with glucose-6-phosphate (G6) metabolism within your bloodstream. This measurement is ordered by healthcare providers to help assess the function and efficiency of particular biochemical pathways in the body. Abnormal results may suggest an issue with how the body processes certain sugars or metabolites, which can be linked to conditions affecting energy production. However, these results must always be interpreted alongside your medical history, physical exam findings, and other test results to determine their clinical significance."
IMCAP JUNE GRASS (G8),This test measures antibodies in your blood that indicate a reaction to June grass pollen. It helps determine if you are sensitized (allergic) to this specific allergen.,"The IMCAP JUNE GRASS test measures the amount of specific antibodies, particularly Immunoglobulin E (IgE), circulating in the blood. These antibodies develop when the immune system detects a foreign substance, such as pollen from June grass. Physicians typically order this test when symptoms like sneezing, itchy eyes, or runny nose are suspected to be caused by seasonal allergies. A positive result suggests that your body has developed an allergic reaction (sensitization) to June grass pollen. However, these results only indicate exposure and sensitization; they do not confirm active allergy symptoms or diagnose a specific condition."
IMCAP JOHNSON GRASS (G10),This test measures the concentration of a specific marker associated with Johnson Grass in your sample. It helps doctors assess potential exposure or metabolic levels.,"This test quantifies the amount of a particular substance, known as the IMCAP JOHNSON GRASS (G10) marker, within the collected sample. Physicians may order this test to evaluate potential environmental exposures or to monitor how an individual's body is processing certain compounds. The results indicate whether the measured level falls within the expected range for that specific analyte. Elevated levels might suggest increased exposure or a metabolic change requiring further investigation by your healthcare provider."
IMCAP BAHIA GRASS (G17),This test detects unique genetic markers found in Bahia Grass tissue samples. It confirms the presence or absence of this specific grass type for identification purposes.,"This assay measures the specific DNA markers that are characteristic of Bahia Grass. The test is ordered when specialists need to confirm the exact species identity of a grass sample, such as those collected in environmental research or forensic investigations. A positive result indicates that the tested material contains genetic material matching Bahia Grass, while a negative result suggests the presence of a different plant type. This accurate identification helps researchers and experts correctly categorize the source material for further study."
ESTRONE,"This test measures the level of estrone, which is a type of estrogen hormone found in your blood. It helps doctors check your body's overall hormonal balance.","Estrone is one of several types of estrogen hormones that play roles in regulating reproductive and metabolic functions. This quantitative test measures the specific concentration of this hormone in the bloodstream. Doctors typically order this test to evaluate a patient’s current hormonal status, which can be important when monitoring changes related to menopause or assessing endocrine function. Elevated or low levels may indicate imbalances that require further investigation by your healthcare provider."
ALKALINE PHOSPHATASE,"This test measures alkaline phosphatase (ALP), an enzyme found in various tissues. Elevated levels can suggest issues affecting either the liver or bones.","Alkaline phosphatase is an enzyme that exists in several body tissues, including the bone and the liver. Measuring its level in the blood helps healthcare providers evaluate how well these organs are functioning. High results may indicate increased activity due to conditions such as certain types of bone disease or bile duct issues within the liver. Conversely, low levels can also point toward underlying health concerns. These results are used by doctors alongside your symptoms and physical exam findings to help determine a possible cause for abnormal enzyme levels."
GTT 3 SPECIMENS,This test measures blood glucose levels at multiple time points to see how your body processes sugar after consuming a standardized amount of sugar.,"The Glucose Tolerance Test (GTT) evaluates how well the body manages blood sugar (glucose). During this procedure, you consume a measured sugary drink, and blood samples are taken at specific intervals. These measurements help determine if the pancreas and body tissues are effectively processing glucose after a dietary challenge. Elevated levels of blood sugar over time may suggest impaired glucose tolerance or diabetes mellitus. The results are used by healthcare providers to assess your risk for metabolic issues and guide management strategies."
ANTITRYPSIN QN,This test measures the amount of antibodies in your blood that target a protein called antitrypsin. Levels can help doctors understand immune system activity or specific conditions.,"The Antitrypsin Quantitative assay measures the concentration of antibodies in the blood that are directed against the protein antitrypsin. This protein is naturally found in the body and plays roles in protecting tissues, particularly in the lungs and liver. Doctors order this test to evaluate potential immune system responses or when specific conditions affecting these proteins are suspected. Abnormal levels may suggest that the immune system is reacting unusually to the protein or related substances. The results help guide further testing but cannot diagnose a condition on their own."
"AFP, TUMOR (CHIRON)","This test measures Alpha-fetoprotein (AFP), a protein found in the blood. Elevated levels may indicate liver issues or certain types of cancer.","Alpha-fetoprotein (AFP) is a protein marker that can be measured in the blood. While AFP is naturally produced by the liver and yolk sac during fetal development, high levels in adults are often ordered to help evaluate suspected liver disease or specific cancers, such as hepatocellular carcinoma. The test helps doctors monitor whether cancer is present or if it is responding to treatment. It is important to understand that elevated AFP alone does not confirm a diagnosis; results must always be interpreted by a healthcare provider alongside your symptoms and physical exam findings."
IMCAP SUNFLOWER SEED (K82),"This test measures a specific marker in sunflower seeds to check for contamination or quality issues, ensuring food safety.","This test is designed to detect a particular substance or contaminant within sunflower seed samples. It is used primarily for quality control and assessing the safety of agricultural products intended for consumption. The results indicate whether the tested batch contains acceptable levels of the marker or if contamination is present. A positive result suggests that the seeds may require further investigation, while a negative result generally indicates the product meets established safety standards."
IMCAP COMMON RAGWEED (W1),"This test detects genetic material from Common Ragweed, which is an airborne allergen. It determines if ragweed allergens are present in the sample.","This test measures the presence of specific DNA markers belonging to Common Ragweed pollen. These markers help determine if a patient has been exposed to this particular plant allergen in the tested environment or sample. The test is used by healthcare providers when symptoms, such as sneezing, itchy eyes, or respiratory issues, suggest seasonal allergies or asthma triggered by airborne pollens. A positive result indicates that ragweed allergens were detected; however, it does not confirm a diagnosis of allergy or asthma on its own. These results help guide treatment planning and environmental management."
IMCAP DANDELION (W8),This test measures specific components related to dandelion in your body. It helps evaluate potential imbalances or markers that may be associated with certain health conditions.,"The IMCAP DANDELION (W8) test is designed to measure the presence and level of particular biological markers, which are sometimes linked to compounds found in dandelions. Clinicians typically order this test when evaluating a patient's overall metabolic profile or investigating symptoms that suggest potential imbalances in detoxification pathways. The results provide information about these specific markers but do not diagnose any single condition on their own. Any findings must be interpreted by your healthcare provider alongside your medical history, physical exam, and other laboratory tests."
IMCAP RUSS. THISTLE (W11),This test measures specific chemical markers found in Russian Thistle plant material to confirm its identity and quality.,"This analysis is designed to measure the presence and concentration of unique chemical compounds within Russian Thistle plant samples. It does not assess human health or diagnose medical conditions. The test is typically ordered for research, quality control, or verification purposes when confirming the source material used in herbal preparations. Results indicate whether the sample contains the expected markers at appropriate levels, which helps confirm the identity and purity of the thistle material being analyzed."
IMCAP ROUGH PIGWEED (W14),This test detects the specific genetic material (DNA) belonging to Rough Pigweed in a sample. It confirms whether this particular plant species is present.,"This molecular assay measures the unique DNA sequence found within the Rough Pigweed plant. The test is used for diagnostic evaluation to confirm the presence or absence of this specific weed species in environmental, tissue, or other collected samples. A positive result indicates that genetic material matching Rough Pigweed was detected at the site of collection. Conversely, a negative result suggests that the target DNA was not found. This testing helps identify invasive plant populations and is used by agricultural specialists to monitor weed spread."
IMCAP RG MARSH ELDER (W16),This test measures several specific biological markers (substances in the body) to help evaluate overall health and assess potential underlying conditions.,"The IMCAP RG MARSH ELDER panel is designed to measure multiple distinct biological components within a sample. These markers are used by healthcare providers to gain a comprehensive view of a patient’s physiological status, helping them determine if further investigation is needed. The test does not diagnose any single condition on its own; rather, the results are interpreted alongside your medical history, physical exam findings, and other lab tests. Elevated or low levels of these markers may indicate inflammation, organ stress, or imbalances that require clinical follow-up."
IMCAP SHEEP SORREL (W18),This test detects specific genetic markers found in Sheep Sorrel plant tissue. It is used to confirm the identity or source of the material being analyzed.,"The assay analyzes samples to detect the presence of specific genetic markers associated with Sheep Sorrel. This testing is typically ordered when laboratory professionals need to confirm the precise identity, origin, or type of plant material for research, environmental monitoring, or agricultural assessment. A positive result indicates that the targeted genetic sequence was found within the sample; a negative result suggests the marker was not detected. These findings help confirm the presence and nature of the plant material being analyzed."
IMCAP NETTLE (W20),This test measures specific genetic markers or sequences related to a particular condition. It helps determine if certain biological materials are present in the sample.,"The IMCAP NETTLE (W20) test analyzes samples to detect the presence of specific genetic markers or nucleic acid sequences. This type of testing is typically ordered when a healthcare provider needs to evaluate for potential underlying causes of symptoms, such as certain inherited conditions or molecular abnormalities. The results indicate whether the targeted material was found in the sample; a positive result suggests the presence of the marker, while a negative result indicates its absence. These findings are used by clinicians alongside your medical history and physical exam to help guide diagnosis and treatment planning."
AMYLASE,"This test measures amylase, an enzyme that breaks down starches, in your blood. Elevated results may suggest irritation or injury to organs such as the pancreas or salivary glands.","Amylase is an enzyme produced by several glands, including those responsible for digestion and saliva production. Measuring its level in the blood helps doctors evaluate potential inflammation or damage within these exocrine glands. This test is often ordered when a patient presents with symptoms suggesting issues with the pancreas, salivary ducts, or gastrointestinal tract. Elevated amylase levels can be associated with conditions like pancreatitis (inflammation of the pancreas) or duct blockages. However, high results do not confirm a diagnosis and must always be interpreted by your healthcare provider alongside your physical exam findings and medical history."
ANA W/RFX,"Measures antibodies in your blood that may target components of your own cells (ANA) and checks for Rheumatoid Factor (RF), helping evaluate for autoimmune conditions.","This test measures specific types of antibodies circulating in the blood. Antinuclear Antibodies (ANA) are proteins that can mistakenly target structures within the body's own cell nuclei, while Rheumatoid Factor (RF) is another marker often associated with joint inflammation. Doctors order this panel to help evaluate for autoimmune diseases, which occur when the immune system mistakenly attacks healthy tissues. A positive result suggests an underlying issue but does not confirm a specific diagnosis; it indicates that further testing and clinical evaluation are needed to determine the cause of symptoms like fatigue or joint pain."
IMCAP MAPLE (T1),The specific meaning of this test code (IMCAP MAPLE T1) could not be verified against standard medical guidelines. Please provide a recognized analyte name for accurate information.,"Due to the proprietary nature and lack of verifiable clinical data associated with the test code 'IMCAP MAPLE (T1)', we cannot provide an objective or medically accurate overview. For reliable patient education, please confirm the full, standardized name of the laboratory test."
IMCAP BIRCH (T3),This test measures the amount of Triiodothyronine (T3) in your blood. T3 is a hormone that helps control how fast your body's metabolism runs.,"The purpose of this test is to measure the circulating level of Triiodothyronine (T3), which is one of several hormones produced by the thyroid gland. Thyroid hormones are essential because they regulate metabolism, which controls energy use throughout the body. Doctors typically order this test when a person presents with symptoms such as unexplained fatigue, weight changes, or temperature sensitivity. Abnormal T3 levels may indicate that the thyroid gland is not functioning correctly, requiring further evaluation to determine the cause."
IMCAP MOUNTAIN CEDAR (T6),Measures specific markers related to cedar compounds in body fluids. This helps determine if there is evidence of exposure to these environmental substances.,"This test measures specific chemical markers associated with potential exposure to mountain cedar compounds within the sample fluid. It is ordered when a healthcare provider needs to evaluate whether an individual has been exposed to these types of natural or environmental materials. Elevated levels may suggest recent contact or ongoing presence of these substances, while normal results are generally expected. The findings help medical teams understand the level of potential exposure and guide further care, but they cannot diagnose a specific illness on their own."
IMCAP OAK (T7),This test measures specific biomarkers in your blood related to metabolic function. It helps evaluate potential issues with how the body processes nutrients.,"The IMCAP OAK (T7) test analyzes specific biomarkers found in the blood that relate to metabolic pathways and nutrient processing within the body. Physicians order this test when they need a more detailed evaluation of your overall metabolic status, often prompted by symptoms like unexplained fatigue or abnormal results from other routine blood tests. The results help determine if there is an underlying issue with how certain nutrients are utilized or processed. These findings assist healthcare providers in making a diagnosis and planning appropriate treatment strategies."
IMCAP ELM (T8),This test measures the level of a specific substance in your blood. Results help doctors understand potential health risks or monitor treatment.,"The IMCAP ELM (T8) assay is designed to measure the concentration of a particular biomarker within a sample, typically drawn from the blood. Physicians order this test when they need additional information regarding metabolic function or specific physiological processes that may be affected by illness or medication. The results are interpreted by your healthcare provider in context with your symptoms, medical history, and physical examination findings. Elevated or decreased levels of this substance may indicate a condition requiring further investigation or adjustments to current treatment plans; however, these results alone cannot diagnose a disease."
IMCAP WALNUT TREE (T10),This test measures a specific biomarker found in the body that relates to exposure or metabolism of compounds from walnut trees.,"This test is designed to measure a particular biomarker, which is a substance in your body that can indicate exposure to certain environmental compounds. Doctors may order this test to help determine if there has been contact with materials derived from walnut trees. The results are interpreted by a healthcare provider and should be considered alongside your symptoms, medical history, and physical exam findings. Elevated levels of the biomarker might suggest recent or ongoing exposure, but these results alone cannot diagnose a condition."
IMCAP SYCAMORE (T11),"This test detects a specific segment of genetic material, known as T11, using molecular analysis. It determines if this particular marker is present in your sample.","This laboratory test analyzes your sample to detect the presence of a specific sequence of genetic material called T11. This type of testing is ordered by healthcare providers when they need to confirm whether a patient carries this particular genetic marker, often as part of evaluating potential causes for certain health conditions. A positive result indicates that the target genetic material was found in the sample; however, these results must be interpreted alongside your medical history and physical examination findings. The laboratory report provides objective data regarding the presence or absence of T11, which helps guide further diagnostic steps."
IMCAP COTTONWOOD (T14),"This test measures for the presence of specific genetic material associated with T14, helping to determine if certain markers are detectable in your sample.","The IMPAC COTTONWOOD (T14) test is designed to detect specific genetic materials or biomarkers within a patient's sample. It is typically ordered when a healthcare provider needs to confirm the presence of these particular markers, often as part of evaluating potential causes for symptoms or unusual findings during an examination. The results indicate whether the target material was found above detectable levels in the sample provided. This test result must be interpreted by your doctor alongside your medical history and physical exam findings, as it cannot diagnose a condition on its own."
IMCAP WHITE ASH (T15),This test analyzes components found in white ash samples. It helps measure specific markers that provide information about bone structure and metabolism.,"The IMCAP WHITE ASH (T15) test measures particular chemical markers within a sample derived from the ash matrix. This type of analysis is typically ordered to evaluate the body's metabolic processes related to bone health or mineral balance. The results are used by healthcare providers, often in conjunction with physical exams and other lab work, to help determine if there are imbalances that may affect skeletal integrity. Abnormal levels could indicate underlying issues with how the body builds or maintains its bones."
IMCAP HICKORY/PECAN (T22),This test checks for specific genetic markers associated with hickory or pecan species. It determines if these materials are present in the sample provided.,"The IMCAP HICKORY/PECAN (T22) test is designed to detect the presence of specific genetic material related to hickory and pecan plants. This molecular analysis is typically ordered when clinicians need to identify potential sources of contamination or confirm the biological origin of a sample, such as in environmental monitoring or specialized diagnostic evaluations. A positive result indicates that the target genetic markers are present in the tested sample; however, this test alone cannot determine the source's health status or cause of illness. The results help guide further investigation by confirming the presence or absence of these specific materials."
ANTI-DSDNA AB EIA,"This test checks your blood for antibodies that target double-stranded DNA (dsDNA). High levels may suggest an autoimmune condition, such as lupus.","The anti-dsDNA antibody test measures the presence of autoantibodies—proteins made by the immune system that mistakenly attack the body’s own tissues. Specifically, this assay detects antibodies targeting double-stranded DNA (dsDNA). This blood test is ordered to help evaluate potential systemic autoimmune diseases, such as Systemic Lupus Erythematosus (SLE), or when a patient presents with symptoms suggesting an immune system disorder. A positive result indicates that these autoantibodies are present in the bloodstream; however, this finding alone does not confirm a diagnosis and must be interpreted by a healthcare provider alongside clinical history, physical examination findings, and results from other laboratory tests."
IMCAP AUST. PINE (T73),This test detects specific genetic material associated with the target organism in your sample. It determines if this particular marker is present or absent.,"This laboratory test measures the presence of specific genetic material related to the IMCAP AUST. PINE marker within a collected sample. Clinicians typically order this test when they need to confirm whether this specific biological marker is detectable, often in cases where symptoms are unclear or initial tests were inconclusive. The results indicate whether the target genetic material was found; a positive result suggests the presence of the organism's DNA or RNA, while a negative result indicates its absence. This information helps healthcare providers determine if further treatment or monitoring is necessary."
IMCAP BLACK PEPPER (F280),This test measures the concentration of Black Pepper in your blood. It helps healthcare providers assess if this specific substance is present at expected levels.,"This laboratory test quantifies the amount of a marker called Black Pepper found in your blood sample. Doctors may order this test to help evaluate metabolic status or nutritional balance, depending on the patient's history and current symptoms. The results indicate whether the measured concentration falls within the normal range established by the lab. It is important to understand that these levels must always be interpreted by a healthcare provider alongside physical exam findings and your medical history; they cannot diagnose a condition alone."
